Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,2.100000,2.100000,1.910000,1.930000,1.930000,498336
2020-03-03,2.000000,2.000000,1.820000,1.920000,1.920000,458334
2020-03-04,1.940000,1.940000,1.840000,1.860000,1.860000,233355
2020-03-05,1.950000,1.950000,1.850000,1.910000,1.910000,154669
2020-03-06,1.860000,1.860000,1.720000,1.800000,1.800000,484163
2020-03-09,1.800000,1.800000,1.800000,1.800000,1.800000,0
2020-03-11,1.750000,1.810000,1.670000,1.750000,1.750000,262695
2020-03-12,1.800000,1.800000,1.600000,1.640000,1.640000,485908
2020-03-13,1.640000,1.640000,1.640000,1.640000,1.640000,0
2020-03-16,1.640000,1.800000,1.550000,1.720000,1.720000,451573
2020-03-17,1.800000,1.800000,1.650000,1.660000,1.660000,255586
2020-03-18,1.740000,1.740000,1.500000,1.510000,1.510000,396564
2020-03-19,1.500000,1.510000,1.420000,1.470000,1.470000,403168
2020-03-20,1.510000,1.510000,1.380000,1.420000,1.420000,493896
2020-03-23,1.400000,1.400000,1.160000,1.240000,1.240000,289169
2020-03-24,1.250000,1.360000,1.190000,1.210000,1.210000,215210
2020-03-25,1.250000,1.340000,1.150000,1.290000,1.290000,314870
2020-03-26,1.330000,1.430000,1.310000,1.360000,1.360000,306846
2020-03-27,1.380000,1.500000,1.350000,1.370000,1.370000,144705
2020-03-30,1.300000,1.400000,1.300000,1.360000,1.360000,258242
2020-03-31,1.370000,1.400000,1.300000,1.320000,1.320000,280046
2020-04-01,1.350000,1.350000,1.250000,1.260000,1.260000,434246
2020-04-03,1.270000,1.350000,1.240000,1.290000,1.290000,320879
2020-04-07,1.300000,1.390000,1.300000,1.360000,1.360000,567274
2020-04-08,1.340000,1.340000,1.230000,1.260000,1.260000,681579
2020-04-09,1.210000,1.310000,1.210000,1.290000,1.290000,535200
2020-04-13,1.290000,1.310000,1.240000,1.260000,1.260000,585470
2020-04-15,1.280000,1.350000,1.180000,1.220000,1.220000,1512049
2020-04-16,1.230000,1.460000,1.230000,1.450000,1.450000,4738503
2020-04-17,1.600000,1.700000,1.460000,1.680000,1.680000,2294711
2020-04-20,1.750000,2.010000,1.700000,2.000000,2.000000,4199996
2020-04-21,2.050000,2.180000,1.800000,1.800000,1.800000,678358
2020-04-22,1.650000,1.890000,1.620000,1.760000,1.760000,1823194
2020-04-23,1.840000,1.840000,1.720000,1.760000,1.760000,469674
2020-04-24,1.760000,1.820000,1.640000,1.660000,1.660000,1021266
2020-04-27,1.740000,1.740000,1.630000,1.680000,1.680000,401075
2020-04-28,1.670000,1.670000,1.550000,1.610000,1.610000,553786
2020-04-29,1.600000,1.700000,1.570000,1.680000,1.680000,1222468
2020-04-30,1.710000,1.740000,1.600000,1.610000,1.610000,1260988
2020-05-04,1.620000,1.660000,1.590000,1.630000,1.630000,476893
2020-05-05,1.640000,1.640000,1.470000,1.490000,1.490000,2427616
2020-05-06,1.480000,1.480000,1.390000,1.440000,1.440000,915696
2020-05-07,1.450000,1.450000,1.350000,1.420000,1.420000,1399698
2020-05-08,1.450000,1.450000,1.400000,1.410000,1.410000,679674
2020-05-11,1.430000,1.480000,1.410000,1.480000,1.480000,572637
2020-05-12,1.550000,1.550000,1.490000,1.550000,1.550000,1840848
2020-05-13,1.620000,1.620000,1.570000,1.620000,1.620000,377337
2020-05-14,1.690000,1.700000,1.600000,1.700000,1.700000,1717850
